,episode,results,return,goal
684,685,"(172.0, 16, True)",172.0,True
685,686,"(180.0, 12, True)",180.0,True
686,687,"(176.0, 13, True)",176.0,True
687,688,"(177.0, 13, True)",177.0,True
688,689,"(182.0, 10, True)",182.0,True
689,690,"(180.0, 12, True)",180.0,True
690,691,"(182.0, 10, True)",182.0,True
691,692,"(174.0, 14, True)",174.0,True
692,693,"(177.0, 13, True)",177.0,True
693,694,"(181.0, 11, True)",181.0,True
694,695,"(178.0, 12, True)",178.0,True
695,696,"(179.0, 11, True)",179.0,True
696,697,"(181.0, 11, True)",181.0,True
697,698,"(176.0, 14, True)",176.0,True
698,699,"(178.0, 14, True)",178.0,True
699,700,"(178.0, 12, True)",178.0,True
700,701,"(182.0, 10, True)",182.0,True
701,702,"(180.0, 11, True)",180.0,True
702,703,"(178.0, 12, True)",178.0,True
703,704,"(182.0, 10, True)",182.0,True
704,705,"(181.0, 11, True)",181.0,True
705,706,"(175.0, 15, True)",175.0,True
706,707,"(173.0, 16, True)",173.0,True
707,708,"(176.0, 13, True)",176.0,True
708,709,"(181.0, 11, True)",181.0,True
709,710,"(180.0, 12, True)",180.0,True
710,711,"(174.0, 14, True)",174.0,True
711,712,"(178.0, 14, True)",178.0,True
712,713,"(182.0, 10, True)",182.0,True
713,714,"(177.0, 13, True)",177.0,True
714,715,"(179.0, 12, True)",179.0,True
715,716,"(179.0, 12, True)",179.0,True
716,717,"(182.0, 10, True)",182.0,True
717,718,"(172.0, 17, True)",172.0,True
718,719,"(170.0, 17, True)",170.0,True
719,720,"(178.0, 12, True)",178.0,True
720,721,"(177.0, 14, True)",177.0,True
721,722,"(181.0, 11, True)",181.0,True
722,723,"(180.0, 11, True)",180.0,True
723,724,"(172.0, 18, True)",172.0,True
724,725,"(182.0, 10, True)",182.0,True
725,726,"(184.0, 10, True)",184.0,True
726,727,"(181.0, 11, True)",181.0,True
727,728,"(181.0, 11, True)",181.0,True
728,729,"(180.0, 12, True)",180.0,True
729,730,"(182.0, 10, True)",182.0,True
730,731,"(176.0, 13, True)",176.0,True
731,732,"(182.0, 10, True)",182.0,True
732,733,"(176.0, 14, True)",176.0,True
733,734,"(179.0, 12, True)",179.0,True
734,735,"(179.0, 12, True)",179.0,True
735,736,"(177.0, 13, True)",177.0,True
736,737,"(177.0, 14, True)",177.0,True
737,738,"(178.0, 12, True)",178.0,True
738,739,"(182.0, 10, True)",182.0,True
739,740,"(180.0, 12, True)",180.0,True
740,741,"(182.0, 10, True)",182.0,True
741,742,"(175.0, 14, True)",175.0,True
742,743,"(182.0, 10, True)",182.0,True
743,744,"(174.0, 15, True)",174.0,True
744,745,"(177.0, 14, True)",177.0,True
745,746,"(181.0, 11, True)",181.0,True
746,747,"(182.0, 10, True)",182.0,True
747,748,"(181.0, 11, True)",181.0,True
748,749,"(181.0, 11, True)",181.0,True
749,750,"(180.0, 11, True)",180.0,True
750,751,"(182.0, 10, True)",182.0,True
751,752,"(181.0, 11, True)",181.0,True
752,753,"(182.0, 10, True)",182.0,True
753,754,"(177.0, 13, True)",177.0,True
754,755,"(175.0, 15, True)",175.0,True
755,756,"(181.0, 11, True)",181.0,True
756,757,"(181.0, 11, True)",181.0,True
757,758,"(173.0, 15, True)",173.0,True
758,759,"(181.0, 11, True)",181.0,True
759,760,"(176.0, 14, True)",176.0,True
760,761,"(178.0, 13, True)",178.0,True
761,762,"(176.0, 13, True)",176.0,True
762,763,"(178.0, 12, True)",178.0,True
763,764,"(179.0, 12, True)",179.0,True
764,765,"(175.0, 14, True)",175.0,True
765,766,"(180.0, 13, True)",180.0,True
766,767,"(173.0, 16, True)",173.0,True
767,768,"(180.0, 11, True)",180.0,True
768,769,"(182.0, 10, True)",182.0,True
769,770,"(180.0, 11, True)",180.0,True
770,771,"(173.0, 17, True)",173.0,True
771,772,"(180.0, 12, True)",180.0,True
772,773,"(181.0, 11, True)",181.0,True
773,774,"(173.0, 15, True)",173.0,True
774,775,"(172.0, 16, True)",172.0,True
775,776,"(175.0, 15, True)",175.0,True
776,777,"(181.0, 11, True)",181.0,True
777,778,"(184.0, 10, True)",184.0,True
778,779,"(175.0, 15, True)",175.0,True
779,780,"(181.0, 11, True)",181.0,True
780,781,"(180.0, 14, True)",180.0,True
781,782,"(182.0, 10, True)",182.0,True
782,783,"(172.0, 17, True)",172.0,True
783,784,"(182.0, 10, True)",182.0,True
784,785,"(178.0, 13, True)",178.0,True
785,786,"(182.0, 10, True)",182.0,True
786,787,"(179.0, 13, True)",179.0,True
787,788,"(181.0, 11, True)",181.0,True
788,789,"(178.0, 12, True)",178.0,True
789,790,"(180.0, 12, True)",180.0,True
790,791,"(178.0, 12, True)",178.0,True
791,792,"(-350.0, 405, True)",-350.0,True
792,793,"(173.0, 17, True)",173.0,True
793,794,"(179.0, 12, True)",179.0,True
794,795,"(178.0, 12, True)",178.0,True
795,796,"(180.0, 12, True)",180.0,True
796,797,"(179.0, 12, True)",179.0,True
797,798,"(179.0, 12, True)",179.0,True
798,799,"(181.0, 11, True)",181.0,True
799,800,"(177.0, 16, True)",177.0,True
800,801,"(181.0, 11, True)",181.0,True
801,802,"(182.0, 10, True)",182.0,True
802,803,"(176.0, 14, True)",176.0,True
803,804,"(174.0, 16, True)",174.0,True
804,805,"(180.0, 12, True)",180.0,True
805,806,"(182.0, 10, True)",182.0,True
806,807,"(184.0, 10, True)",184.0,True
807,808,"(182.0, 10, True)",182.0,True
808,809,"(175.0, 14, True)",175.0,True
809,810,"(180.0, 12, True)",180.0,True
810,811,"(177.0, 13, True)",177.0,True
811,812,"(174.0, 15, True)",174.0,True
812,813,"(179.0, 12, True)",179.0,True
813,814,"(181.0, 11, True)",181.0,True
814,815,"(181.0, 11, True)",181.0,True
815,816,"(175.0, 15, True)",175.0,True
816,817,"(173.0, 15, True)",173.0,True
817,818,"(178.0, 13, True)",178.0,True
818,819,"(179.0, 12, True)",179.0,True
819,820,"(177.0, 13, True)",177.0,True
820,821,"(178.0, 12, True)",178.0,True
821,822,"(172.0, 16, True)",172.0,True
822,823,"(181.0, 11, True)",181.0,True
823,824,"(174.0, 14, True)",174.0,True
824,825,"(181.0, 11, True)",181.0,True
825,826,"(182.0, 10, True)",182.0,True
826,827,"(180.0, 12, True)",180.0,True
827,828,"(181.0, 11, True)",181.0,True
828,829,"(177.0, 13, True)",177.0,True
829,830,"(182.0, 10, True)",182.0,True
830,831,"(180.0, 12, True)",180.0,True
831,832,"(176.0, 15, True)",176.0,True
832,833,"(183.0, 11, True)",183.0,True
833,834,"(176.0, 13, True)",176.0,True
834,835,"(168.0, 18, True)",168.0,True
835,836,"(182.0, 10, True)",182.0,True
836,837,"(182.0, 10, True)",182.0,True
837,838,"(180.0, 12, True)",180.0,True
838,839,"(182.0, 10, True)",182.0,True
839,840,"(178.0, 12, True)",178.0,True
840,841,"(180.0, 11, True)",180.0,True
841,842,"(179.0, 13, True)",179.0,True
